system:index,analysts,anlys_id,anlys_time,area,chief_affl,db_area,geog_area,glac_id,glac_name,glac_stat,glob_unc_x,glob_unc_y,length,line_type,loc_unc_x,loc_unc_y,local_id,max_elev,mean_elev,min_elev,primeclass,proc_desc,rc_id,rec_status,release_dt,src_date,subm_id,submitters,wgms_id,width,.geo
0011000000000000389f,"Fountain, Andrew G.",358157,2006-01-01T00:00:00,1.12,Portland State University,1.17221,Conterminous USA,G238294E45348N,Palmer Snowfield OR,exists,10,10,0.0,glac_bound,5,5,None,286,0,184,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.70710240372806,45.34941582664015]}"
00110000000000003a06,"Fountain, Andrew G.",358110,2006-01-01T00:00:00,0.08,Portland State University,0.085227,Conterminous USA,G238268E45406N,OR,exists,10,10,0.0,glac_bound,5,5,None,175,0,134,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.73223528630145,45.407855233658054]}"
00110000000000003a22,"Fountain, Andrew G.",358145,2006-01-01T00:00:00,0.06,Portland State University,0.064706,Conterminous USA,G238285E45404N,OR,exists,10,10,0.0,glac_bound,5,5,None,193,0,179,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.71534781103715,45.40476333733454]}"
00110000000000003a3c,"Fountain, Andrew G.",358262,2006-01-01T00:00:00,0.09,Portland State University,0.090839,Conterminous USA,G238329E45392N,OR,exists,10,10,0.0,glac_bound,5,5,None,224,0,194,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.67245851514453,45.39145178474311]}"
00110000000000003a6a,"Fountain, Andrew G.",358171,2006-01-01T00:00:00,0.52,Portland State University,0.529303,Conterminous USA,G238291E45391N,Ladd Glacier OR,exists,10,10,0.0,glac_bound,5,5,None,244,0,200,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.70640121400422,45.39213260703205]}"
00110000000000003a7a,"Fountain, Andrew G.",358141,2006-01-01T00:00:00,1.43,Portland State University,1.4418,Conterminous USA,G238280E45381N,Sandy Glacier OR,exists,10,10,0.0,glac_bound,5,5,None,271,0,182,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.7188700871302,45.38088455786801]}"
00110000000000003ab3,"Fountain, Andrew G.",358307,2006-01-01T00:00:00,0.06,Portland State University,0.06364,Conterminous USA,G238348E45376N,OR,exists,10,10,0.0,glac_bound,5,5,None,212,0,198,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.65273286512665,45.3758035949667]}"
00110000000000003ac6,"Fountain, Andrew G.",358202,2006-01-01T00:00:00,0.32,Portland State University,0.333922,Conterminous USA,G238303E45402N,OR,exists,10,10,0.0,glac_bound,5,5,None,216,0,171,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.70009045408811,45.402984604302596]}"
00110000000000003acd,"Fountain, Andrew G.",358223,2006-01-01T00:00:00,1.12,Portland State University,1.12822,Conterminous USA,G238318E45387N,Langille Glacier OR,exists,10,10,0.0,glac_bound,5,5,None,328,0,174,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.68524476853105,45.388598427667056]}"
00110000000000003b57,"Fountain, Andrew G.",358332,2006-01-01T00:00:00,0.07,Portland State University,0.072307,Conterminous USA,G238361E45385N,OR,exists,10,10,0.0,glac_bound,5,5,None,183,0,171,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.64020688856046,45.38502659658075]}"
00110000000000003b93,"Fountain, Andrew G.",358153,2006-01-01T00:00:00,3.11,Portland State University,3.2721,Conterminous USA,G238278E45362N,Zigzag Glacier OR,exists,10,10,0.0,glac_bound,5,5,None,318,0,179,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.71725727794188,45.36112249368479]}"
00110000000000003ba7,"Fountain, Andrew G.",358253,2006-01-01T00:00:00,0.24,Portland State University,0.248302,Conterminous USA,G238326E45363N,OR,exists,10,10,0.0,glac_bound,5,5,None,234,0,175,0,"; The data on glacier location and change was derived from 1:24 000 maps (24K) published by the U.S. Geological Survey and U.S.  Forest Survey. The paper maps (Primary Base Series, PBS) and 7.5-minute standard series by the USGS were digitally scanned an",5,okay,2016-02-26T09:00:00,1956-06-15T00:00:00,614,"Fountain, Andrew G.",None,0.0,"{""type"":""Point"",""coordinates"":[-121.66824106116029,45.362874711122736]}"
